FileSpec	VMAF-Value	Bitrate
QSV_Compressed\DJI_0046_intel_q22.mp4	92.8908	21652.27
QSV_Compressed\DJI_0046_intel_q19.mp4	95.1894	39125.74
QSV_Compressed\DJI_0046_intel_q16.mp4	97.2644	63899.99
QSV_Compressed\DJI_0046_intel_q20.mp4	94.6875	33179.03
QSV_Compressed\DJI_0046_intel_q17.mp4	96.6031	54915.12
QSV_Compressed\DJI_0046_intel_q21.mp4	93.8223	26972.86
QSV_Compressed\DJI_0046_intel_q18.mp4	95.9022	46492.82
QSV_Compressed\DJI_0046_intel_q23.mp4	91.9336	17264.12
QSV_Compressed\DJI_0048_intel_q18.mp4	99.3227	63920.24
QSV_Compressed\DJI_0048_intel_q16.mp4	99.7345	82139.58
QSV_Compressed\DJI_0048_intel_q17.mp4	99.5580	72534.57
QSV_Compressed\DJI_0048_intel_q20.mp4	98.8237	51631.97
QSV_Compressed\DJI_0048_intel_q19.mp4	98.9422	56059.85
QSV_Compressed\DJI_0048_intel_q21.mp4	98.2325	44635.08
QSV_Compressed\DJI_0048_intel_q22.mp4	97.4620	38336.90
QSV_Compressed\DJI_0048_intel_q25.mp4	94.0366	23915.26
QSV_Compressed\DJI_0048_intel_q23.mp4	96.4843	32850.60
QSV_Compressed\DJI_0048_intel_q24.mp4	95.3367	28054.27
QSV_Compressed\DJI_0049_intel_q16.mp4	99.9549	114554.58
QSV_Compressed\DJI_0049_intel_q17.mp4	99.8624	102845.02
QSV_Compressed\DJI_0046_intel_q24.mp4	90.8907	13618.31
QSV_Compressed\DJI_0046_intel_q25.mp4	89.7459	10619.95
QSV_Compressed\DJI_0049_intel_q18.mp4	99.7036	91472.23
QSV_Compressed\DJI_0049_intel_q19.mp4	99.4603	80878.71
QSV_Compressed\DJI_0049_intel_q20.mp4	99.3960	74469.67
QSV_Compressed\DJI_0049_intel_q21.mp4	98.9715	64831.68
QSV_Compressed\DJI_0049_intel_q22.mp4	98.3683	55992.08
QSV_Compressed\DJI_0049_intel_q23.mp4	97.4917	48131.40
QSV_Compressed\DJI_0049_intel_q24.mp4	96.3757	41203.67
QSV_Compressed\DJI_0049_intel_q25.mp4	95.0793	35150.26
QSV_Compressed\DJI_0050_intel_q17.mp4	99.7407	88322.25
QSV_Compressed\DJI_0050_intel_q19.mp4	99.2901	69330.71
QSV_Compressed\DJI_0050_intel_q18.mp4	99.5722	78497.40
QSV_Compressed\DJI_0050_intel_q16.mp4	99.8384	98704.28
QSV_Compressed\DJI_0050_intel_q20.mp4	99.2184	63854.76
QSV_Compressed\DJI_0050_intel_q21.mp4	98.7159	55552.32
QSV_Compressed\DJI_0050_intel_q22.mp4	98.0256	48077.25
QSV_Compressed\DJI_0050_intel_q23.mp4	97.0962	41358.39
QSV_Compressed\DJI_0050_intel_q24.mp4	95.9838	35447.58
QSV_Compressed\DJI_0050_intel_q25.mp4	94.6972	30259.89
QSV_Compressed\DJI_0054_intel_q17.mp4	96.8231	53882.10
QSV_Compressed\DJI_0054_intel_q16.mp4	97.2331	65691.13
QSV_Compressed\DJI_0054_intel_q18.mp4	96.3421	43171.29
QSV_Compressed\DJI_0054_intel_q19.mp4	95.8708	34046.48
QSV_Compressed\DJI_0054_intel_q20.mp4	95.5265	27244.62
QSV_Compressed\DJI_0054_intel_q21.mp4	94.9327	19915.10
QSV_Compressed\DJI_0054_intel_q22.mp4	94.3113	14260.10
QSV_Compressed\DJI_0054_intel_q23.mp4	93.6150	9849.62
QSV_Compressed\DJI_0062_intel_q16.mp4	96.8842	13692.26
